id,grau,tipo,notacao,funcao,chm,prioridade,comentario,secundarias_json
62,bVI,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bV"", ""prioridade"": 3, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""VIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}, {""grau"": ""VIIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 1, ""comentario"": null}]"
63,bVI,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bV"", ""prioridade"": 2, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 1, ""comentario"": null}]"
64,bVI,7,,S,bVI7 (e.m.),2,"Na verdade o bVI7 normalmente é uma domimante secundária substituta do V, no caso seria a ""dominante substituta da dominante"" (subV/V). Mas para isso ocorrer ele deveria preceder um acorde de função dominante (principal). Se não for este o caso é possível pensar no bVI7 como acorde de uso autônomo, neste caso, tomando a função de subdominante (principal).","[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""bIII"", ""prioridade"": 6, ""comentario"": null}]"
65,bVI,Maj7,,S,bVI,1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}]"
66,VI,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""V"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}]"
67,VI,m7(b5),,S,VIm7(b5)(e.m.),2,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 3, ""comentario"": null}]"
68,VI,m7,,T,VI,1,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}]"
69,VI,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IV7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IV blue"", ""notacao"": null, ""funcao"": null, ""referencia"": ""III"", ""prioridade"": 3, ""comentario"": null}]"
70,VI,Maj7,,T,VIMaj7 (Mediante),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VII"", ""prioridade"": null, ""comentario"": null}]"
71,#VI,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}]"
72,#VI,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""VIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}]"
73,#VI,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 2, ""comentario"": null}]"
74,#VI,7,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,,bVII7 (e.m.),1,,"[{""grau"": ""bII7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}]"
75,#VI,Maj7,A melhor notação para este caso seria o acorde enarmônico uma nota acima.,,bVIIMaj7 (e.m.),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}]"
76,bVII,dim7,,,,,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""IV"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""II"", ""prioridade"": 4, ""comentario"": null}, {""grau"": ""VIIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 5, ""comentario"": null}, {""grau"": ""bIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, de busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""#IV"", ""prioridade"": null, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""Vdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""bIII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIdim7"", ""notacao"": ""Dá-se preferência à notação na qual o diminuto fica uma segunda menor acima do acorde de chegada, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma terça maior acima do acorde de chegada."", ""funcao"": ""DimAuxA"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""Idim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bVII"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bIIIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""V"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""III"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIdim7"", ""notacao"": ""Neste caso a notação mais utilizada é aquela na qual a fundamental do acorde diminuto é a mesma do acorde de referência, mesmo que em termos de notação das notas musicais a cifra não corresponda ao ideal. Ou seja, se busca o visualmente mais objetivo. Porém, quando se for escrever as notas musicais correspondentes deve-se pensar no acorde diminuto que fica uma quarta aumentada acima do acorde de referência."", ""funcao"": ""DimAuxB"", ""referencia"": ""bII"", ""prioridade"": null, ""comentario"": null}]"
77,bVII,m7(b5),,,,,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""S"", ""referencia"": ""III"", ""prioridade"": 2, ""comentario"": ""Esta explicação é razoável somente se esta subdominante secundária estiver preprando um acorde maior.""}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota abaixo."", ""funcao"": ""D"", ""referencia"": ""VII"", ""prioridade"": 4, ""comentario"": ""A rigor não existe preparação para acordes com quinta diminuta. Nestes casos costuma-se usar a preparação do acorde resultante do deslocamento uma primeira aumentada abaixo, apenas da fundamental.""}]"
78,bVII,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bVI"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": 2, ""comentario"": null}]"
79,bVII,7,,S,bVII7 (e.m.),1,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 2, ""comentario"": null}]"
80,bVII,Maj7,,S,bVIIMaj7 (e.m.),1,,"[{""grau"": ""bIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""I"", ""prioridade"": 4, ""comentario"": null}]"
81,VII,dim7,,D,VIIdim7 (e.m.),1,,"[{""grau"": ""IIdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""VI"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""IVdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Esta explicação deve ser utilizada com reservas pois o acorde de chegada não é um acorde do campo harmônico principal.""}, {""grau"": ""#Vdim7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}]"
82,VII,m7(b5),,D,VIIm7(b5),1,,"[{""grau"": ""IIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""#IVm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""IV"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIm7(b5)"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""II"", ""prioridade"": null, ""comentario"": null}, {""grau"": ""VIIm7(b5)"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""I"", ""prioridade"": null, ""comentario"": null}]"
83,VII,m7,,,,,,"[{""grau"": ""IIm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""VI"", ""prioridade"": 2, ""comentario"": ""O mais adequado seria que esta subdominante secundária fosse com a quinta diminuta já que prepara um acorde cujo destino no campo harmônico seria menor.""}, {""grau"": ""IVm7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 1, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}]"
84,VII,7,,,,,,"[{""grau"": ""bII7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""bVII"", ""prioridade"": 2, ""comentario"": null}, {""grau"": ""V7"", ""notacao"": null, ""funcao"": ""D"", ""referencia"": ""III"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""bVII7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 3, ""comentario"": null}]"
85,VII,Maj7,,,,,,"[{""grau"": ""bIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bVII"", ""prioridade"": 1, ""comentario"": null}, {""grau"": ""IVMaj7"", ""notacao"": null, ""funcao"": ""S"", ""referencia"": ""#IV"", ""prioridade"": 4, ""comentario"": ""Para esta explicação ser razoável o ponto de chegada deve ser maior com sétima.""}, {""grau"": ""bVIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bIII"", ""prioridade"": 3, ""comentario"": null}, {""grau"": ""bVIIMaj7"", ""notacao"": ""A melhor notação para este caso seria o acorde enarmônico uma nota acima."", ""funcao"": ""S"", ""referencia"": ""bII"", ""prioridade"": 2, ""comentario"": null}]"
